SKU_Key,Store_ID,Product_ID,Total_Units_Sold,Total_Revenue,Avg_Daily_Demand,Demand_StdDev,Avg_Inventory,Avg_Inventory_Value,Avg_Days_of_Cover,Days_Critical,Days_Excess,Sold_Out_Days,Stockout_Risk_Days,Unserved_Units,Avg_Excess_Value,Forecast_Bias,Forecast_MAE,Avg_Units_Ordered,Observation_Days,Inventory_Turnover,Demand_CV,Pct_Days_Critical,Pct_Days_Excess
S001-P0011,S001,P0011,96852,4699604.75,132.49,109.9,269.19,14645.01,2.09,134,170,6,33,206.74,817.74,4.66,7.92,112.18,731,179.77,0.83,18.33,23.26
S001-P0012,S001,P0012,93854,4465039.06,128.39,102.24,266.76,14372.16,2.15,141,179,2,21,121.36,997.41,4.6,8.1,107.67,731,175.79,0.8,19.29,24.49
S001-P0013,S001,P0013,97131,4781014.37,132.87,109.16,263.73,14400.08,2.01,141,137,1,29,178.47,655.25,5.46,8.55,112.9,731,184.02,0.82,19.29,18.74
S001-P0014,S001,P0014,99870,4915551.91,136.62,110.67,270.9,15015.37,2.02,128,125,1,22,122.91,582.95,4.69,8.23,111.35,731,184.21,0.81,17.51,17.1
S001-P0015,S001,P0015,100795,4891509.53,137.89,112.8,277.48,15160.68,2.03,140,134,3,15,109.19,661.71,4.85,8.13,106.89,731,181.5,0.82,19.15,18.33
S001-P0016,S001,P0016,97174,4825528.1,132.93,107.54,265.39,14746.31,2.03,151,158,5,23,160.8,684.64,4.97,8.48,111.19,731,182.95,0.81,20.66,21.61
S001-P0017,S001,P0017,99744,4909928.58,136.45,108.97,285.65,15796.74,2.14,120,154,4,17,145.61,762.92,4.94,8.42,111.6,731,174.47,0.8,16.42,21.07
S001-P0018,S001,P0018,101475,5160533.09,138.82,109.1,282.55,15951.93,2.06,129,130,6,17,129.44,637.56,5.59,8.81,108.11,731,179.45,0.79,17.65,17.78
S001-P0019,S001,P0019,98488,4763207.88,134.73,109.55,277.14,15146.93,2.09,124,162,6,27,210.39,658.41,4.98,8.39,111.53,731,177.56,0.81,16.96,22.16
S001-P0020,S001,P0020,101144,5033913.45,138.36,111.25,276.02,15523.66,2.03,135,126,3,23,143.56,597.01,5.14,8.37,113.51,731,183.09,0.8,18.47,17.24
S002-P0001,S002,P0001,105999,5165898.56,145.01,113.57,278.34,15148.86,1.95,143,102,2,24,164.19,381.8,4.67,8.08,110.52,731,190.28,0.78,19.56,13.95
S002-P0002,S002,P0002,94143,4749443.07,128.79,106.05,266.43,14805.17,2.12,143,164,3,24,168.89,916.58,5.0,8.18,111.33,731,176.56,0.82,19.56,22.44
S002-P0003,S002,P0003,97227,4726422.44,133.01,111.34,273.9,15100.31,2.09,134,154,5,19,87.25,783.76,5.16,8.45,108.55,731,177.37,0.84,18.33,21.07
S002-P0004,S002,P0004,101190,4934740.71,138.43,108.65,272.06,14956.5,1.99,135,125,3,35,201.75,619.75,5.25,8.53,106.52,731,185.84,0.78,18.47,17.1
S002-P0005,S002,P0005,96910,4972554.33,132.57,104.44,271.09,15288.47,2.07,124,149,6,23,207.24,745.38,5.18,8.32,107.39,731,178.62,0.79,16.96,20.38
S002-P0006,S002,P0006,97418,4729822.63,133.27,105.04,270.12,14709.83,2.04,149,145,4,18,127.99,756.26,4.23,8.02,109.19,731,180.2,0.79,20.38,19.84
S002-P0007,S002,P0007,100601,5025875.92,137.62,112.77,274.86,15268.1,2.04,136,147,3,24,132.17,610.28,5.16,8.37,106.26,731,182.88,0.82,18.6,20.11
S002-P0008,S002,P0008,94225,4766807.24,128.9,106.85,268.77,15032.96,2.13,126,156,2,36,204.42,838.92,5.16,8.32,111.95,731,175.17,0.83,17.24,21.34
S002-P0009,S002,P0009,105376,5326447.31,144.15,112.42,282.95,15852.12,1.99,137,110,4,27,219.7,449.04,5.02,8.37,109.8,731,186.08,0.78,18.74,15.05
S002-P0010,S002,P0010,99012,4756370.72,135.45,112.87,272.55,14788.82,2.05,137,135,3,25,124.32,678.02,4.85,8.37,109.29,731,181.52,0.83,18.74,18.47
S002-P0011,S002,P0011,99145,5195721.25,135.63,108.69,269.35,15803.65,2.01,151,136,3,26,115.21,759.1,5.19,8.42,108.54,731,183.92,0.8,20.66,18.6
S002-P0012,S002,P0012,102528,4877179.87,140.26,111.78,271.63,14386.06,1.95,141,117,4,22,188.54,430.49,5.08,8.44,110.83,731,188.6,0.8,19.29,16.01
S002-P0013,S002,P0013,98116,4906755.26,134.22,106.21,277.55,15415.95,2.1,140,148,2,31,182.94,749.88,5.59,8.56,109.8,731,176.63,0.79,19.15,20.25
S002-P0014,S002,P0014,98251,4883489.32,134.41,105.01,272.16,15152.83,2.07,143,143,4,26,169.7,664.49,5.2,8.35,109.38,731,180.38,0.78,19.56,19.56
S002-P0015,S002,P0015,95606,4772821.28,130.79,104.0,269.69,15009.12,2.08,137,161,0,22,169.15,794.1,5.32,8.37,113.32,731,177.13,0.8,18.74,22.02
S002-P0016,S002,P0016,101059,5158969.15,138.25,108.41,285.47,15978.1,2.11,131,158,2,20,144.16,758.43,5.01,8.45,109.41,731,176.89,0.78,17.92,21.61
S002-P0017,S002,P0017,96719,4673827.46,132.31,106.46,274.21,14387.18,2.1,119,157,3,29,172.59,642.17,5.25,8.61,110.95,731,176.24,0.8,16.28,21.48
S002-P0018,S002,P0018,102482,5025106.95,140.19,111.49,272.03,14833.94,1.96,141,110,7,29,179.85,431.38,4.79,8.13,109.44,731,188.24,0.8,19.29,15.05
S002-P0019,S002,P0019,96365,4751136.96,131.83,107.43,267.1,14636.9,2.07,146,165,3,29,180.46,769.64,4.42,8.12,112.42,731,180.27,0.82,19.97,22.57
S002-P0020,S002,P0020,105343,5550613.66,144.11,113.54,276.31,16039.56,1.94,152,125,5,34,257.39,511.32,4.79,8.32,110.93,731,190.49,0.79,20.79,17.1
S003-P0001,S003,P0001,94620,4730937.8,129.44,106.36,274.68,15487.86,2.16,127,173,0,17,107.95,869.01,4.9,8.18,112.82,731,172.12,0.82,17.37,23.67
S003-P0002,S003,P0002,104350,5054959.0,142.75,111.97,282.28,15229.39,2.01,131,131,6,24,166.32,469.79,4.95,8.17,108.97,731,184.71,0.78,17.92,17.92
S003-P0003,S003,P0003,92556,4644443.39,126.62,102.91,270.21,14916.82,2.2,123,176,3,26,160.09,1008.85,5.09,8.55,107.77,731,171.15,0.81,16.83,24.08
S003-P0004,S003,P0004,96660,4834375.76,132.23,104.89,269.94,14846.09,2.07,136,154,5,36,277.28,708.55,5.33,8.55,105.93,731,178.92,0.79,18.6,21.07
S003-P0005,S003,P0005,105408,5170893.55,144.2,109.34,277.57,14981.2,1.93,137,105,1,21,173.31,420.92,4.76,8.3,112.15,731,189.75,0.76,18.74,14.36
S003-P0006,S003,P0006,102173,5254723.2,139.77,114.1,277.82,15740.72,2.03,147,133,5,26,200.99,683.65,4.9,8.08,107.32,731,183.76,0.82,20.11,18.19
S003-P0007,S003,P0007,101464,5260915.15,138.8,110.79,279.98,16014.0,2.06,133,134,3,29,126.17,625.89,4.97,8.33,108.67,731,181.08,0.8,18.19,18.33
S003-P0008,S003,P0008,97864,4770510.6,133.88,109.76,277.19,15062.31,2.11,135,155,4,25,164.73,707.69,5.57,8.49,108.21,731,176.41,0.82,18.47,21.2
S003-P0009,S003,P0009,102682,4908058.93,140.47,112.71,280.16,15113.31,2.02,134,122,3,28,217.02,441.78,5.06,8.17,110.21,731,183.13,0.8,18.33,16.69
S003-P0010,S003,P0010,99422,4815351.11,136.01,109.32,265.29,14482.45,1.99,158,141,6,30,174.21,698.64,4.89,8.28,110.91,731,187.25,0.8,21.61,19.29
S003-P0011,S003,P0011,101392,5159375.09,138.7,108.62,274.63,15626.23,2.0,136,124,3,20,160.77,526.62,5.2,8.52,108.3,731,184.47,0.78,18.6,16.96
S003-P0012,S003,P0012,100529,4911017.5,137.52,111.91,276.77,14900.59,2.04,136,128,2,15,75.3,602.41,4.47,8.14,109.24,731,181.49,0.81,18.6,17.51
S003-P0013,S003,P0013,107479,5472317.95,147.03,112.6,285.26,15996.88,1.97,132,108,2,20,151.84,445.06,4.59,8.22,111.73,731,188.26,0.77,18.06,14.77
S003-P0014,S003,P0014,105188,5278805.14,143.9,113.02,290.87,16232.23,2.04,119,134,3,26,163.38,503.38,4.9,8.36,111.44,731,180.7,0.78,16.28,18.33
S003-P0015,S003,P0015,101119,4870135.75,138.33,108.01,279.27,15044.92,2.04,136,144,4,21,180.14,571.94,4.59,7.95,110.75,731,180.92,0.78,18.6,19.7
S003-P0016,S003,P0016,103641,5041118.57,141.78,111.65,277.99,15036.96,1.98,131,115,4,33,183.7,507.73,4.53,8.19,112.03,731,186.29,0.79,17.92,15.73
S003-P0017,S003,P0017,104566,5045083.26,143.05,107.78,277.15,15027.51,1.96,139,110,2,26,148.24,415.49,5.29,8.6,108.89,731,188.52,0.75,19.02,15.05
S003-P0018,S003,P0018,96507,4760704.88,132.02,108.3,269.78,14860.3,2.08,140,159,3,28,172.21,796.02,5.07,8.36,110.03,731,178.74,0.82,19.15,21.75
S003-P0019,S003,P0019,104524,5049739.47,142.99,111.2,277.97,15184.69,1.99,138,111,7,31,232.62,544.22,5.68,8.78,109.05,731,187.89,0.78,18.88,15.18
S003-P0020,S003,P0020,100552,5000936.35,137.55,108.51,272.65,15223.36,2.01,128,126,0,24,155.45,575.77,4.91,8.29,111.26,731,184.27,0.79,17.51,17.24
S004-P0001,S004,P0001,101270,5019731.13,138.54,110.97,270.79,15185.87,2.0,140,141,4,30,200.64,840.73,5.26,8.38,114.73,731,186.86,0.8,19.15,19.29
S004-P0002,S004,P0002,95358,4735345.23,130.45,103.44,269.37,15165.44,2.11,128,158,4,28,181.16,794.4,5.18,8.51,109.49,731,176.88,0.79,17.51,21.61
S004-P0003,S004,P0003,94436,4791068.16,129.19,107.46,272.02,15155.73,2.12,131,169,5,30,218.3,852.38,5.08,8.47,108.74,731,173.46,0.83,17.92,23.12
S004-P0004,S004,P0004,95814,4843556.41,131.07,107.12,270.18,15312.47,2.08,140,163,3,25,117.66,770.84,5.19,8.26,111.25,731,177.19,0.82,19.15,22.3
S004-P0005,S004,P0005,100309,5115495.65,137.22,107.08,270.45,15321.2,2.01,141,135,3,26,199.03,664.76,5.08,8.13,109.44,731,185.32,0.78,19.29,18.47
S004-P0006,S004,P0006,103147,4887712.8,141.1,108.44,273.6,14317.28,1.95,151,116,6,31,280.59,381.15,4.93,8.36,109.12,731,188.37,0.77,20.66,15.87
S004-P0007,S004,P0007,95309,4647222.55,130.38,105.84,262.13,14241.19,2.03,136,147,5,27,216.15,710.06,5.07,8.49,110.97,731,181.67,0.81,18.6,20.11
S004-P0008,S004,P0008,98371,4935575.76,134.57,106.94,273.29,15281.76,2.07,127,152,4,34,250.31,728.86,4.47,8.03,110.44,731,179.85,0.8,17.37,20.79
S004-P0009,S004,P0009,98390,4734636.5,134.6,112.51,270.73,14913.41,2.05,150,145,5,30,238.57,657.2,5.07,8.31,107.6,731,181.59,0.84,20.52,19.84
S004-P0010,S004,P0010,100728,4977149.63,137.79,111.13,280.39,15564.87,2.07,118,150,4,36,223.5,608.53,4.87,8.36,110.08,731,179.5,0.81,16.14,20.52
S004-P0011,S004,P0011,102149,5232235.14,139.74,106.62,271.73,15213.66,1.97,145,119,5,25,166.42,511.56,5.12,8.47,107.42,731,187.84,0.76,19.84,16.28
S004-P0012,S004,P0012,96327,4848721.26,131.77,103.96,268.75,15277.5,2.06,141,148,6,28,235.3,808.16,5.43,8.63,111.64,731,179.09,0.79,19.29,20.25
S004-P0013,S004,P0013,96049,4802142.68,131.39,104.84,265.21,14613.53,2.04,152,148,8,27,168.85,745.64,5.12,8.66,109.12,731,180.96,0.8,20.79,20.25
S004-P0014,S004,P0014,103904,5083147.38,142.14,111.0,282.35,15763.94,2.0,135,131,4,20,158.1,512.37,4.78,8.11,111.07,731,183.87,0.78,18.47,17.92
S004-P0015,S004,P0015,100664,4939332.92,137.71,108.2,277.69,15101.78,2.02,138,121,5,27,167.01,525.51,5.26,8.36,110.71,731,181.13,0.79,18.88,16.55
S004-P0016,S004,P0016,104777,5214095.77,143.33,107.7,280.27,15417.91,1.97,144,106,2,20,105.45,426.85,4.72,8.11,110.24,731,186.79,0.75,19.7,14.5
S004-P0017,S004,P0017,99123,4812810.83,135.6,107.63,271.99,14890.96,2.03,136,145,0,26,177.93,631.67,4.86,8.22,109.37,731,182.1,0.79,18.6,19.84
S004-P0018,S004,P0018,94023,4632773.69,128.62,103.72,267.56,14623.19,2.1,135,149,3,22,114.83,674.14,5.69,8.38,109.51,731,175.58,0.81,18.47,20.38
S004-P0019,S004,P0019,99798,4969937.33,136.52,110.57,272.49,15240.54,2.02,140,129,2,25,144.76,600.63,4.91,8.4,108.08,731,183.0,0.81,19.15,17.65
S004-P0020,S004,P0020,99299,4834449.43,135.84,106.72,275.11,14776.27,2.05,135,150,3,30,209.83,647.3,4.34,8.14,111.16,731,180.35,0.79,18.47,20.52
S005-P0001,S005,P0001,95801,4652382.14,131.05,106.91,268.33,14300.04,2.08,139,152,5,23,177.4,672.69,5.21,8.42,109.79,731,178.39,0.82,19.02,20.79
S005-P0002,S005,P0002,98187,4833705.85,134.32,105.81,264.98,14527.8,2.01,144,127,6,30,209.04,562.14,4.63,8.01,107.1,731,185.14,0.79,19.7,17.37
S005-P0003,S005,P0003,105667,5317435.12,144.55,111.93,283.99,15608.17,2.0,139,116,1,25,137.07,447.23,5.41,8.58,111.81,731,185.91,0.77,19.02,15.87
S005-P0004,S005,P0004,98836,4976607.22,135.21,111.78,269.7,15037.06,2.02,143,142,2,25,101.69,639.44,4.83,8.36,108.22,731,183.11,0.83,19.56,19.43
S005-P0005,S005,P0005,103703,5102046.1,141.86,105.77,276.78,14978.25,2.0,140,126,2,29,208.87,514.39,4.71,8.08,110.74,731,187.21,0.75,19.15,17.24
S005-P0006,S005,P0006,98871,4954641.1,135.25,107.18,273.36,15288.19,2.07,132,144,3,20,116.42,657.92,5.6,8.55,110.03,731,180.72,0.79,18.06,19.7
S005-P0007,S005,P0007,101198,4908433.0,138.44,111.88,278.19,15037.79,2.02,137,134,5,26,208.19,483.07,5.44,8.66,109.28,731,181.76,0.81,18.74,18.33
S005-P0008,S005,P0008,97859,4821422.26,133.87,111.2,274.71,15256.08,2.07,132,153,4,20,138.15,666.8,5.22,8.24,110.95,731,177.99,0.83,18.06,20.93
S005-P0009,S005,P0009,99558,5015403.47,136.19,107.78,272.26,14978.65,2.02,148,133,2,29,162.54,565.78,5.17,8.37,110.14,731,182.71,0.79,20.25,18.19
S005-P0010,S005,P0010,100551,5078005.34,137.55,109.46,281.5,15635.59,2.07,140,149,5,27,210.32,653.59,5.22,8.49,112.63,731,178.48,0.8,19.15,20.38
S005-P0011,S005,P0011,99824,5169787.39,136.56,107.51,279.14,15781.42,2.05,125,141,4,23,199.55,552.71,4.79,8.33,111.61,731,178.69,0.79,17.1,19.29
S005-P0012,S005,P0012,98432,5003277.24,134.65,108.38,278.64,15760.57,2.11,123,155,3,28,166.38,760.46,5.61,8.59,112.47,731,176.51,0.8,16.83,21.2
S005-P0013,S005,P0013,101844,5155111.82,139.32,107.31,283.81,15757.1,2.09,132,137,5,36,209.46,621.75,5.29,8.47,110.86,731,179.3,0.77,18.06,18.74
S005-P0014,S005,P0014,100409,5107821.18,137.36,111.17,273.18,15534.47,2.01,143,125,4,22,129.43,607.34,5.01,8.24,107.36,731,183.65,0.81,19.56,17.1
S005-P0015,S005,P0015,109099,5473051.42,149.25,115.68,277.91,15526.57,1.88,156,88,4,35,164.59,316.68,5.58,8.56,106.5,731,196.15,0.78,21.34,12.04
S005-P0016,S005,P0016,101821,5079796.57,139.29,111.58,278.4,15243.43,2.02,140,144,3,26,132.64,618.91,5.13,8.19,108.94,731,182.74,0.8,19.15,19.7
S005-P0017,S005,P0017,100358,4888402.78,137.29,108.62,282.6,15552.73,2.09,119,143,3,23,152.78,734.87,5.03,8.07,110.95,731,177.44,0.79,16.28,19.56
S005-P0018,S005,P0018,98064,4904397.54,134.15,109.8,270.77,15077.6,2.05,150,147,2,27,167.17,808.01,5.3,8.49,109.58,731,180.96,0.82,20.52,20.11
S005-P0019,S005,P0019,98724,4979505.23,135.05,108.66,277.93,15624.23,2.08,128,147,5,34,268.06,678.04,4.7,8.3,110.98,731,177.49,0.8,17.51,20.11
S005-P0020,S005,P0020,101370,5082406.64,138.67,111.14,283.9,15821.84,2.09,127,149,10,19,165.44,661.64,4.6,8.21,111.02,731,178.41,0.8,17.37,20.38
