Date,SKU_Key,Store_ID,Product_ID,Category,Region,Weather_Condition,Seasonality,Holiday_Promotion,Discount,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Net_Price,Competitor_Pricing,Revenue,Inventory_Value,Avg_Daily_Demand,Days_of_Cover,Reorder_Point,Below_Reorder_Point,Excess_Units,Excess_Value,Sold_Out,Stockout_Risk,Unserved_Units,Forecast_Error,Abs_Forecast_Error,Order_Requirement,Order_Gap,Stock_Status,Recommended_Action
2022-01-25,S001-P0001,S001,P0001,Furniture,East,Rainy,Autumn,1,15,348,189,122,185.83,18.35,15.6,22.01,2947.93,6385.8,117.6,2.96,176.4,0,0.0,0.0,0,0,0.0,-3.17,3.17,4.8,117.2,Healthy,MAINTAIN
2022-01-26,S001-P0001,S001,P0001,Clothing,South,Sunny,Winter,1,5,200,49,101,50.62,59.48,56.51,55.45,2768.79,11896.0,114.96,1.74,172.44,0,0.0,0.0,0,0,0.0,1.62,1.62,144.88,-43.88,Healthy,MAINTAIN
2022-01-27,S001-P0001,S001,P0001,Furniture,South,Cloudy,Winter,0,0,410,164,116,180.45,93.34,93.34,94.33,15307.76,38269.4,116.78,3.51,175.17,0,59.67,5569.29,0,0,0.0,16.45,16.45,0.0,116.0,Excess,REDUCE STOCK
2022-01-28,S001-P0001,S001,P0001,Furniture,East,Cloudy,Autumn,1,20,158,97,82,115.96,53.25,42.6,49.95,4132.2,8413.5,116.07,1.36,174.11,1,0.0,0.0,0,0,0.0,18.96,18.96,190.21,-108.21,Below Reorder,REPLENISH
2022-01-29,S001-P0001,S001,P0001,Furniture,South,Snowy,Autumn,1,15,154,47,124,48.79,88.06,74.85,92.84,3518.0,13561.24,113.21,1.36,169.82,1,0.0,0.0,0,0,0.0,1.79,1.79,185.64,-61.64,Below Reorder,REPLENISH
2022-01-30,S001-P0001,S001,P0001,Furniture,West,Snowy,Spring,0,10,498,130,63,148.26,68.76,61.88,73.29,8044.92,34242.48,114.96,4.33,172.45,0,153.11,10527.65,0,0,0.0,18.26,18.26,0.0,63.0,Excess,REDUCE STOCK
2022-01-31,S001-P0001,S001,P0001,Clothing,West,Sunny,Summer,1,0,410,200,152,212.24,70.78,70.78,68.88,14156.0,29019.8,121.93,3.36,182.89,0,44.21,3129.49,0,0,0.0,12.24,12.24,0.0,152.0,Excess,REDUCE STOCK
2022-02-01,S001-P0001,S001,P0001,Groceries,East,Sunny,Summer,0,0,419,279,84,297.26,34.49,34.49,33.85,9622.71,14451.31,129.82,3.23,194.73,0,29.54,1018.69,0,0,0.0,18.26,18.26,0.0,84.0,Excess,REDUCE STOCK
2022-02-02,S001-P0001,S001,P0001,Electronics,South,Cloudy,Autumn,0,5,415,38,149,53.13,52.49,49.87,48.25,1894.89,21783.35,125.93,3.3,188.89,0,37.21,1953.38,0,0,0.0,15.13,15.13,0.0,149.0,Excess,REDUCE STOCK
2022-02-03,S001-P0001,S001,P0001,Clothing,South,Rainy,Winter,1,20,345,71,186,84.02,27.71,22.17,28.96,1573.93,9559.95,127.14,2.71,190.71,0,0.0,0.0,0,0,0.0,13.02,13.02,36.43,149.57,Healthy,MAINTAIN
2022-02-04,S001-P0001,S001,P0001,Furniture,South,Cloudy,Autumn,0,15,121,25,25,37.72,16.84,14.31,12.53,357.85,2037.64,124.21,0.97,186.32,1,0.0,0.0,0,0,0.0,12.72,12.72,251.64,-226.64,Critical,REPLENISH NOW
2022-02-05,S001-P0001,S001,P0001,Groceries,South,Snowy,Summer,0,15,458,350,182,362.43,51.44,43.72,51.54,15303.4,23559.52,136.64,3.35,204.96,0,48.07,2472.79,0,0,0.0,12.43,12.43,0.0,182.0,Excess,REDUCE STOCK
2022-02-06,S001-P0001,S001,P0001,Electronics,North,Cloudy,Spring,1,5,167,69,92,81.06,68.85,65.41,71.82,4513.12,11497.95,126.61,1.32,189.91,1,0.0,0.0,0,0,0.0,12.06,12.06,212.82,-120.82,Below Reorder,REPLENISH
2022-02-07,S001-P0001,S001,P0001,Electronics,South,Rainy,Spring,0,5,244,62,105,73.41,11.34,10.77,9.63,667.93,2766.96,127.54,1.91,191.3,0,0.0,0.0,0,0,0.0,11.41,11.41,138.61,-33.61,Healthy,MAINTAIN
2022-02-08,S001-P0001,S001,P0001,Toys,West,Cloudy,Spring,0,10,140,12,48,15.6,67.64,60.88,69.12,730.51,9469.6,127.39,1.1,191.09,1,0.0,0.0,0,0,0.0,3.6,3.6,242.18,-194.18,Below Reorder,REPLENISH
2022-02-09,S001-P0001,S001,P0001,Groceries,South,Rainy,Autumn,0,0,209,16,143,22.37,90.55,90.55,90.2,1448.8,18924.95,124.25,1.68,186.38,0,0.0,0.0,0,0,0.0,6.37,6.37,163.75,-20.75,Healthy,MAINTAIN
2022-02-10,S001-P0001,S001,P0001,Clothing,South,Rainy,Spring,0,5,311,237,102,229.08,89.58,85.1,91.4,20168.94,27859.38,129.86,2.39,194.79,0,0.0,0.0,0,0,0.0,-7.92,7.92,78.57,23.43,Healthy,MAINTAIN
2022-02-11,S001-P0001,S001,P0001,Electronics,East,Sunny,Autumn,0,0,216,203,34,198.49,19.93,19.93,24.88,4045.79,4304.88,130.79,1.65,196.18,0,0.0,0.0,0,0,0.0,-4.51,4.51,176.36,-142.36,Healthy,MAINTAIN
2022-02-12,S001-P0001,S001,P0001,Toys,South,Sunny,Autumn,1,15,358,29,54,48.16,64.4,54.74,61.19,1587.46,23055.2,125.54,2.85,188.3,0,0.0,0.0,0,0,0.0,19.16,19.16,18.61,35.39,Healthy,MAINTAIN
2022-02-13,S001-P0001,S001,P0001,Clothing,North,Rainy,Spring,0,10,229,149,161,143.55,85.19,76.67,85.28,11423.98,19508.51,127.39,1.8,191.09,0,0.0,0.0,0,0,0.0,-5.45,5.45,153.18,7.82,Healthy,MAINTAIN
2022-02-14,S001-P0001,S001,P0001,Clothing,North,Snowy,Winter,1,10,429,259,156,256.33,97.41,87.67,93.97,22706.27,41788.89,134.18,3.2,201.27,0,26.46,2577.89,0,0,0.0,-2.67,2.67,0.0,156.0,Excess,REDUCE STOCK
2022-02-15,S001-P0001,S001,P0001,Furniture,North,Snowy,Winter,0,5,126,111,32,115.57,51.27,48.71,53.8,5406.42,6460.02,133.75,0.94,200.62,1,0.0,0.0,0,0,0.0,4.57,4.57,275.25,-243.25,Critical,REPLENISH NOW
2022-02-16,S001-P0001,S001,P0001,Electronics,West,Rainy,Autumn,1,10,373,373,91,372.09,65.22,58.7,66.25,21894.35,24327.06,139.54,2.67,209.3,0,0.0,0.0,1,0,0.0,-0.91,0.91,45.61,45.39,Healthy,MAINTAIN
2022-02-17,S001-P0001,S001,P0001,Furniture,West,Rainy,Spring,1,5,82,31,146,27.62,49.34,46.87,51.94,1453.06,4045.88,137.82,0.59,206.73,1,0.0,0.0,0,0,0.0,-3.38,3.38,331.46,-185.46,Critical,REPLENISH NOW
2022-02-18,S001-P0001,S001,P0001,Electronics,South,Rainy,Winter,0,15,115,27,33,39.79,20.21,17.18,18.45,463.82,2324.15,124.86,0.92,187.29,1,0.0,0.0,0,0,0.0,12.79,12.79,259.57,-226.57,Critical,REPLENISH NOW
2022-02-19,S001-P0001,S001,P0001,Furniture,North,Snowy,Summer,1,0,207,27,200,32.44,75.6,75.6,71.3,2041.2,15649.2,119.0,1.74,178.5,0,0.0,0.0,0,0,0.0,5.44,5.44,150.0,50.0,Healthy,MAINTAIN
2022-02-20,S001-P0001,S001,P0001,Toys,South,Rainy,Autumn,0,10,284,166,189,175.44,73.76,66.38,70.18,11019.74,20947.84,122.11,2.33,183.16,0,0.0,0.0,0,0,0.0,9.44,9.44,82.32,106.68,Healthy,MAINTAIN
2022-02-21,S001-P0001,S001,P0001,Clothing,East,Sunny,Winter,0,10,337,337,136,346.41,96.55,86.9,100.1,29283.62,32537.35,133.82,2.52,200.73,0,0.0,0.0,1,1,9.41,9.41,9.41,64.46,71.54,Healthy,MAINTAIN
2022-02-22,S001-P0001,S001,P0001,Furniture,East,Sunny,Spring,1,15,467,191,135,194.7,12.81,10.89,12.47,2079.7,5982.27,133.89,3.49,200.84,0,65.32,836.77,0,0,0.0,3.7,3.7,0.0,135.0,Excess,REDUCE STOCK
2022-02-23,S001-P0001,S001,P0001,Groceries,West,Cloudy,Spring,0,15,152,129,88,134.64,27.67,23.52,31.03,3034.02,4205.84,136.75,1.11,205.12,1,0.0,0.0,0,0,0.0,5.64,5.64,258.25,-170.25,Below Reorder,REPLENISH
2022-02-24,S001-P0001,S001,P0001,Toys,East,Snowy,Winter,1,10,277,177,108,169.54,25.72,23.15,29.31,4097.2,7124.44,137.21,2.02,205.82,0,0.0,0.0,0,0,0.0,-7.46,7.46,134.64,-26.64,Healthy,MAINTAIN
2022-02-25,S001-P0001,S001,P0001,Clothing,North,Cloudy,Summer,1,20,399,214,188,220.68,10.85,8.68,14.28,1857.52,4329.15,141.39,2.82,212.09,0,0.0,0.0,0,0,0.0,6.68,6.68,25.18,162.82,Healthy,MAINTAIN
2022-02-26,S001-P0001,S001,P0001,Groceries,North,Snowy,Spring,0,10,167,106,55,113.33,52.53,47.28,54.21,5011.36,8772.51,143.5,1.16,215.25,1,0.0,0.0,0,0,0.0,7.33,7.33,263.5,-208.5,Below Reorder,REPLENISH
2022-02-27,S001-P0001,S001,P0001,Clothing,North,Rainy,Autumn,1,10,129,68,165,81.82,34.84,31.36,38.22,2132.21,4494.36,141.29,0.91,211.93,1,0.0,0.0,0,0,0.0,13.82,13.82,294.86,-129.86,Critical,REPLENISH NOW
2022-02-28,S001-P0001,S001,P0001,Furniture,South,Snowy,Summer,1,10,361,344,103,338.3,89.39,80.45,86.89,27675.14,32269.79,146.43,2.47,219.64,0,0.0,0.0,0,0,0.0,-5.7,5.7,78.29,24.71,Healthy,MAINTAIN
2022-03-01,S001-P0001,S001,P0001,Toys,North,Snowy,Winter,0,5,263,28,113,33.68,15.95,15.15,13.91,424.27,4194.85,137.46,1.91,206.2,0,0.0,0.0,0,0,0.0,5.68,5.68,149.39,-36.39,Healthy,MAINTAIN
2022-03-02,S001-P0001,S001,P0001,Groceries,South,Snowy,Winter,1,15,216,93,120,105.56,58.52,49.74,58.92,4626.01,12640.32,139.43,1.55,209.14,0,0.0,0.0,0,0,0.0,12.56,12.56,202.29,-82.29,Healthy,MAINTAIN
2022-03-03,S001-P0001,S001,P0001,Toys,South,Snowy,Autumn,1,0,304,36,44,31.54,14.01,14.01,12.87,504.36,4259.04,138.18,2.2,207.27,0,0.0,0.0,0,0,0.0,-4.46,4.46,110.54,-66.54,Healthy,MAINTAIN
2022-03-04,S001-P0001,S001,P0001,Toys,South,Snowy,Autumn,0,15,338,284,43,274.86,33.06,28.1,34.47,7980.68,11174.28,147.43,2.29,221.14,0,0.0,0.0,0,0,0.0,-9.14,9.14,104.29,-61.29,Healthy,MAINTAIN
2022-03-05,S001-P0001,S001,P0001,Furniture,East,Sunny,Spring,0,10,496,282,167,274.26,27.67,24.9,28.65,7022.65,13724.32,145.0,3.42,217.5,0,61.0,1687.87,0,0,0.0,-7.74,7.74,0.0,167.0,Excess,REDUCE STOCK
2022-03-06,S001-P0001,S001,P0001,Electronics,South,Cloudy,Winter,1,10,463,192,54,203.71,62.37,56.13,64.64,10777.54,28877.31,149.39,3.1,224.09,0,14.82,924.41,0,0,0.0,11.71,11.71,0.0,54.0,Excess,REDUCE STOCK
2022-03-07,S001-P0001,S001,P0001,Toys,North,Rainy,Autumn,0,5,380,348,80,360.31,98.99,94.04,97.93,32726.09,37616.2,159.61,2.38,239.41,0,0.0,0.0,0,0,0.0,12.31,12.31,98.82,-18.82,Healthy,MAINTAIN
2022-03-08,S001-P0001,S001,P0001,Clothing,West,Sunny,Winter,1,20,394,32,88,36.33,95.9,76.72,98.49,2455.04,37784.6,160.32,2.46,240.48,0,0.0,0.0,0,0,0.0,4.33,4.33,86.96,1.04,Healthy,MAINTAIN
2022-03-09,S001-P0001,S001,P0001,Clothing,South,Sunny,Autumn,0,15,339,26,165,29.44,24.92,21.18,24.38,550.73,8447.88,160.68,2.11,241.02,0,0.0,0.0,0,0,0.0,3.44,3.44,143.04,21.96,Healthy,MAINTAIN
2022-03-10,S001-P0001,S001,P0001,Clothing,East,Snowy,Spring,1,10,285,147,184,161.02,24.69,22.22,20.0,3266.49,7036.65,157.46,1.81,236.2,0,0.0,0.0,0,0,0.0,14.02,14.02,187.39,-3.39,Healthy,MAINTAIN
2022-03-11,S001-P0001,S001,P0001,Groceries,North,Snowy,Summer,1,10,348,141,188,155.99,46.7,42.03,50.28,5926.23,16251.6,155.25,2.24,232.88,0,0.0,0.0,0,0,0.0,14.99,14.99,117.75,70.25,Healthy,MAINTAIN
2022-03-12,S001-P0001,S001,P0001,Electronics,East,Rainy,Autumn,1,5,210,194,144,196.14,91.91,87.31,90.84,16939.01,19301.1,161.14,1.3,241.71,1,0.0,0.0,0,0,0.0,2.14,2.14,273.43,-129.43,Below Reorder,REPLENISH
2022-03-13,S001-P0001,S001,P0001,Clothing,North,Sunny,Summer,0,15,327,95,141,101.11,87.0,73.95,91.43,7025.25,28449.0,159.21,2.05,238.82,0,0.0,0.0,0,0,0.0,6.11,6.11,150.64,-9.64,Healthy,MAINTAIN
2022-03-14,S001-P0001,S001,P0001,Electronics,West,Snowy,Summer,0,10,84,74,168,80.12,59.11,53.2,58.7,3936.73,4965.24,152.61,0.55,228.91,1,0.0,0.0,0,0,0.0,6.12,6.12,373.82,-205.82,Critical,REPLENISH NOW
2022-03-15,S001-P0001,S001,P0001,Furniture,West,Cloudy,Winter,0,20,172,78,187,78.64,69.17,55.34,70.1,4316.21,11897.24,151.43,1.14,227.14,1,0.0,0.0,0,0,0.0,0.64,0.64,282.29,-95.29,Below Reorder,REPLENISH
2022-03-16,S001-P0001,S001,P0001,Groceries,South,Cloudy,Autumn,0,5,252,230,126,243.54,37.52,35.64,36.49,8198.12,9455.04,146.32,1.72,219.48,0,0.0,0.0,0,0,0.0,13.54,13.54,186.96,-60.96,Healthy,MAINTAIN
2022-03-17,S001-P0001,S001,P0001,Groceries,South,Sunny,Spring,1,15,124,89,86,102.55,30.81,26.19,30.91,2330.78,3820.44,148.39,0.84,222.59,1,0.0,0.0,0,0,0.0,13.55,13.55,321.18,-235.18,Critical,REPLENISH NOW
2022-03-18,S001-P0001,S001,P0001,Electronics,North,Snowy,Autumn,0,15,282,150,41,142.21,47.2,40.12,43.88,6018.0,13310.4,152.79,1.85,229.18,0,0.0,0.0,0,0,0.0,-7.79,7.79,176.36,-135.36,Healthy,MAINTAIN
2022-03-19,S001-P0001,S001,P0001,Clothing,South,Rainy,Summer,0,20,388,285,28,285.57,17.8,14.24,20.76,4058.4,6906.4,162.0,2.4,243.0,0,0.0,0.0,0,0,0.0,0.57,0.57,98.0,-70.0,Healthy,MAINTAIN
2022-03-20,S001-P0001,S001,P0001,Electronics,East,Snowy,Summer,1,15,83,40,68,47.68,33.07,28.11,29.26,1124.38,2744.81,157.5,0.53,236.25,1,0.0,0.0,0,0,0.0,7.68,7.68,389.5,-321.5,Critical,REPLENISH NOW
2022-03-21,S001-P0001,S001,P0001,Groceries,North,Sunny,Summer,1,15,100,58,160,73.92,75.75,64.39,77.25,3734.48,7575.0,147.54,0.68,221.3,1,0.0,0.0,0,0,0.0,15.92,15.92,342.61,-182.61,Critical,REPLENISH NOW
2022-03-22,S001-P0001,S001,P0001,Electronics,North,Snowy,Autumn,1,5,163,114,83,121.45,69.56,66.08,67.3,7533.35,11338.28,144.79,1.13,217.18,1,0.0,0.0,0,0,0.0,7.45,7.45,271.36,-188.36,Below Reorder,REPLENISH
2022-03-23,S001-P0001,S001,P0001,Electronics,South,Sunny,Winter,1,0,82,21,124,15.89,86.7,86.7,87.39,1820.7,7109.4,140.93,0.58,211.39,1,0.0,0.0,0,0,0.0,-5.11,5.11,340.79,-216.79,Critical,REPLENISH NOW
2022-03-24,S001-P0001,S001,P0001,Clothing,North,Cloudy,Summer,0,5,279,35,84,42.16,12.46,11.84,15.25,414.3,3476.34,135.86,2.05,203.79,0,0.0,0.0,0,0,0.0,7.16,7.16,128.57,-44.57,Healthy,MAINTAIN
2022-03-25,S001-P0001,S001,P0001,Electronics,South,Rainy,Autumn,0,0,441,31,137,41.5,45.18,45.18,40.48,1400.58,19924.38,129.32,3.41,193.98,0,53.04,2396.15,0,0,0.0,10.5,10.5,0.0,137.0,Excess,REDUCE STOCK
2022-03-26,S001-P0001,S001,P0001,Groceries,South,Snowy,Summer,1,20,81,4,128,22.91,81.93,65.54,84.51,262.18,6636.33,125.68,0.64,188.52,1,0.0,0.0,0,0,0.0,18.91,18.91,296.04,-168.04,Critical,REPLENISH NOW
2022-03-27,S001-P0001,S001,P0001,Toys,South,Snowy,Autumn,0,10,324,289,95,279.09,78.21,70.39,81.17,20342.42,25340.04,133.57,2.43,200.36,0,0.0,0.0,0,0,0.0,-9.91,9.91,76.71,18.29,Healthy,MAINTAIN
2022-03-28,S001-P0001,S001,P0001,Groceries,West,Rainy,Summer,0,0,393,49,57,61.96,68.54,68.54,65.85,3358.46,26936.22,123.04,3.19,184.55,0,23.89,1637.62,0,0,0.0,12.96,12.96,0.0,57.0,Excess,REDUCE STOCK
2022-03-29,S001-P0001,S001,P0001,Electronics,West,Rainy,Winter,0,5,110,3,65,-1.27,65.91,62.61,63.5,187.84,7250.1,122.14,0.9,183.21,1,0.0,0.0,0,0,0.0,-4.27,4.27,256.43,-191.43,Critical,REPLENISH NOW
2022-03-30,S001-P0001,S001,P0001,Groceries,South,Snowy,Autumn,0,0,339,136,191,154.62,32.07,32.07,35.44,4361.52,10871.73,123.68,2.74,185.52,0,0.0,0.0,0,0,0.0,18.62,18.62,32.04,158.96,Healthy,MAINTAIN
2022-03-31,S001-P0001,S001,P0001,Clothing,South,Sunny,Autumn,0,0,358,85,151,91.85,63.02,63.02,61.79,5356.7,22561.16,125.43,2.85,188.14,0,0.0,0.0,0,0,0.0,6.85,6.85,18.29,132.71,Healthy,MAINTAIN
2022-04-01,S001-P0001,S001,P0001,Furniture,West,Cloudy,Summer,1,0,215,101,65,102.74,44.62,44.62,43.36,4506.62,9593.3,118.89,1.81,178.34,0,0.0,0.0,0,0,0.0,1.74,1.74,141.68,-76.68,Healthy,MAINTAIN
2022-04-02,S001-P0001,S001,P0001,Furniture,East,Sunny,Winter,1,15,200,70,54,74.21,81.11,68.94,85.3,4826.04,16222.0,111.32,1.8,166.98,0,0.0,0.0,0,0,0.0,4.21,4.21,133.96,-79.96,Healthy,MAINTAIN
2022-04-03,S001-P0001,S001,P0001,Toys,South,Snowy,Summer,0,15,208,32,142,42.34,51.04,43.38,51.16,1388.29,10616.32,105.61,1.97,158.41,0,0.0,0.0,0,0,0.0,10.34,10.34,108.82,33.18,Healthy,MAINTAIN
2022-04-04,S001-P0001,S001,P0001,Furniture,North,Sunny,Summer,1,10,70,54,197,60.25,70.04,63.04,74.56,3403.94,4902.8,95.11,0.74,142.66,1,0.0,0.0,0,0,0.0,6.25,6.25,215.32,-18.32,Critical,REPLENISH NOW
2022-04-05,S001-P0001,S001,P0001,Groceries,East,Snowy,Winter,0,10,309,165,105,176.64,90.24,81.22,94.06,13400.64,27884.16,99.86,3.09,149.79,0,9.43,850.83,0,0,0.0,11.64,11.64,0.0,105.0,Excess,REDUCE STOCK
2022-04-06,S001-P0001,S001,P0001,Groceries,West,Rainy,Spring,0,10,322,158,29,174.98,23.65,21.28,20.38,3363.03,7615.3,104.57,3.08,156.86,0,8.29,195.96,0,0,0.0,16.98,16.98,0.0,29.0,Excess,REDUCE STOCK
2022-04-07,S001-P0001,S001,P0001,Furniture,South,Snowy,Winter,1,0,84,26,134,30.94,67.82,67.82,62.89,1763.32,5696.88,100.25,0.84,150.38,1,0.0,0.0,0,0,0.0,4.94,4.94,216.75,-82.75,Critical,REPLENISH NOW
2022-04-08,S001-P0001,S001,P0001,Furniture,East,Rainy,Spring,0,15,322,130,173,148.95,27.4,23.29,24.46,3027.7,8822.8,99.86,3.22,149.79,0,22.43,614.54,0,0,0.0,18.95,18.95,0.0,173.0,Excess,REDUCE STOCK
2022-04-09,S001-P0001,S001,P0001,Groceries,North,Cloudy,Spring,1,15,435,121,60,113.81,69.13,58.76,65.28,7110.02,30071.55,97.25,4.47,145.88,0,143.25,9902.87,0,0,0.0,-7.19,7.19,0.0,60.0,Excess,REDUCE STOCK
2022-04-10,S001-P0001,S001,P0001,Groceries,East,Sunny,Summer,0,5,292,282,200,301.68,96.48,91.66,92.65,25846.99,28172.16,103.93,2.81,155.89,0,0.0,0.0,0,1,9.68,19.68,19.68,19.79,180.21,Healthy,MAINTAIN
2022-04-11,S001-P0001,S001,P0001,Groceries,South,Rainy,Spring,1,0,376,358,192,367.23,46.43,46.43,50.45,16621.94,17457.68,114.07,3.3,171.11,0,33.79,1568.67,0,0,0.0,9.23,9.23,0.0,192.0,Excess,REDUCE STOCK
